name;symbol;isincode;marketIdentificationCode
Danone;DA1;FR0000120644;XPAR
Dart Group PLC;GB400574;GB00B1722W11;XLON
Dassault Aviation SA;AM;FR0000121725;XPAR
Dassault Systemes;DSY;FR0000130650;XPAR
Data Respons ASA;NO570063;NO0003064107;XOSL
Datagroup AG;DU301928;DE000A0JC8S7;XETR
Datalex PLC;IE380128;IE0000527006;XDUB
Datalogic Post Frazionamento;DAL;IT0004053440;MTAA
Datbim;MLDTB;FR0004177939;XPAR
Davide Campari - Milano SpA;CPR;IT0005252207;MTAA
DBV Technologies SA;DBV;FR0010417345;XPAR
DCC PLC;DCC;IE0002424939;XLON
De La Rue Group PLC;GB400732;GB00B3DGH821;XLON
De Longhi;DLG;IT0003115950;MTAA
Dea Capital SpA;DEA;IT0001431805;MTAA
DEAG Deutsche Entertainment AG;LOUD;DE000A0Z23G6;XETR
Debflex;MLDEX;FR0010776658;XPAR
Deceuninck;DECB;BE0003789063;XBRU
Dedalus France SACA;DEDAL;FR0000052623;XPAR
Deinove;ALDEI;FR0010879056;XPAR
Delfingen Industry;ALDEL;FR0000054132;XPAR
Delhaize Group -Acquired-;320006;BE0003562700;XBRU
Delta Drone;ALDR;FR0011522168;XPAR
Delta Plus Group;DLTA;FR0013283108;XPAR
Delticom AG;DU301033;DE0005146807;XETR
Demant A/S;DEMANT;DK0060738599;XCSE
Deoleo SA;ES340169;ES0110047919;XMAD
Derichebourg Act.;PPS;FR0000053381;XPAR
Derwent London PLC;DLN;GB0002652740;XLON
Deufol SE;DE1;DE000A1R1EE6;XETR
Deutsche Bank AG;DB;DE0005140008;XNYS
Deutsche Beteiligungs AG;DBAN;DE000A1TNUT7;XETR
Deutsche Boerse AG;DB1;DE0005810055;XETR
Deutsche Effect & Wechsel;300629;DE0008041005;XETR
Deutsche Euroshop AG;DU301119;DE0007480204;XETR
Deutsche Lufthansa AG;LHA;DE0008232125;XETR
Deutsche Post AG;DPW;DE0005552004;XETR
Deutsche Rohstoff AG;DU301899;DE000A0XYG76;XETR
Deutsche Telekom AG;DTEL;DE0005557508;TNLB
Deutsche Wohnen SE;DU300982;DE000A0HN5C6;XETR
Deutz AG;DU300626;DE0006305006;XETR
Devernois SA;ALDEV;FR0000060840;XPAR
Devoteam SA;DVT;FR0000073793;XPAR
Devro PLC;GB401168;GB0002670437;XLON
Dexia -Delisted-;DEXB;BE0974290224;XBRU
DGB Group NV;DGB;NL0009169515;XAMS
DIA SA;DIA;ES0126775032;XMAD
Diageo PLC;DGE;GB0002374006;XPAR
Diageo PLC -ADR-;DEO;US25243Q2057;XNYS
Diagnostic Medical Systems;DGM;FR0012202497;XPAR
Dialog Semiconductor PLC;DLG;GB0059822006;XETR
Diana Shipping Inc;US112597;MHY2066G1044;XNYS
DIC Asset AG;DIC;DE000A1X3XX4;XETR
DIETSWELL;FR310814;FR0010377127;XPAR
Digigram;FR310522;FR0000035784;XPAR
Dignity PLC;DTY;GB00BRB37M78;XLON
Dinamia Capital Privado S.C.R SA;ALNT;ES0126501131;XMAD
Diploma PLC;GB401170;GB0001826634;XLON
Direct Line Insurance Group PLC;DLG;GB00BY9D0Y18;XLON
DiscoverIE Group PLC;DSCV;GB0000055888;XLON
Dixons Carphone PLC;DC/;GB00B4Y7R145;XLON
DLSI;ALDLS;FR0010404368;XPAR
DMG Mori AG;DU300918;DE0005878003;XETR
DNO ASA;DNO;NO0003921009;XOSL
DNXcorp;ALDNX;FR0010436584;XPAR
DO & CO AG;AT360093;AT0000818802;XWBO
Docks Pétroles d'Ambès SA;DPAM;FR0000065260;XPAR
Dolphin Drilling ASA;DDASAO;NO0003089005;XSTO
Dom Security -Acquired-;FR312128;FR0000052839;XPAR
Dometic Group AB;DOM;SE0007691613;XSTO
Domino's Pizza Group PLC;DOM;GB00BYN59130;XLON
Don't Nod Entertainment SA;ALDNE;FR0013331212;XPAR
Donegal Investment Group PLC;DQ7A;IE00BD97C178;XDUB
DPA Group;919777;NL0009197771;XAMS
Dr. Hoenle AG;DU300547;DE0005157101;XETR
Draegerwerk AG;DU301609;DE0005550602;XETR
Drax Group PLC;GB400035;GB00B1VNSX38;XLON
Drone Volt SACA;ALDRV;FR0013088606;XPAR
DSM;DSM;NL0000009827;XAMS
Duerr AG;DU301098;DE0005565204;XETR
Duro Felguera SA;MDF;ES0162600003;XMAD
Duroc AB -B-;DURCB;SE0000331266;XSTO
Dustin Group AB;DUST;SE0006625471;XSTO
Dutch Star Companies ONE NV;DSC1;NL0012747059;XAMS
Dynafond SA;MLDYN;FR0000052920;XPAR
E.ON SE;EOAN;DE000ENAG999;XETR
Ease2pay NV;EAS2P;NL0000345627;XAMS
easyJet PLC;EZJ;GB00B7KR2P84;XLON
Easyvista;ALEZV;FR0010246322;XPAR
Eaux de Royan SA;MLEDR;FR0007200100;XPAR
Ebro Foods SA;ES340024;ES0112501012;XMAD
ECA;ECASA;FR0010099515;XPAR
Eckert & Ziegler AG;DU301729;DE0005659700;XETR
Econocom Group;ECONB;BE0974313455;XBRU
Ecoslops;ALESA;FR0011490648;XPAR
Edap TMS SA  -ADR-;US122083;US2683111072;XNAS
Edenred;EDEN;FR0010908533;XPAR
Ediliziacrobatica SpA (FR);ALEAC;IT0005351504;XPAR
Editions du Signe SA;MLEDS;FR0000052755;XPAR
EDP Renovaveis SA;EDPR;ES0127797019;XLIS
Egide SA;GID;FR0000072373;XPAR
Eiffage;FGR;FR0000130452;XPAR
Einhell Germany AG;DU300621;DE0005654933;XETR
Ekinops SAS;EKI;FR0011466069;XPAR
El.En. SpA;ELN;IT0005188336;MTAA
Elecnor SA;ES340116;ES0129743318;XMAD
Electricite de France (EDF);EDF;FR0010242511;XPAR
Electricite de Strasbourg SA;ELEC;FR0000031023;XPAR
Electricite Et Eaux De Madagascar;EEM;FR0000035719;XPAR
Electrocomponents PLC;GB400793;GB0003096442;XLON
Electrolux AB -B-;ELUXB;SE0000103814;XSTO
Elekta AB -B-;EKTAB;SE0000163628;XSTO
Elementis PLC;ELM;GB0002418548;XLON
Elia Group SA/NV;ELI;BE0003822393;XBRU
Elica S.p.A.;ELC;IT0003404214;MTAA
Elior Group;ELIOR;FR0011950732;XPAR
Elis SA;ELIS;FR0012435121;XPAR
Elmos Semiconductor AG;DU300875;DE0005677108;XETR
ElringKlinger AG;DU301865;DE0007856023;XETR
Emak SpA;EM;IT0001237053;MTAA
Emakina Group SA;BE320215;BE0003843605;XBRU
EMD Music SA -delisted-;BE320329;BE0003849669;XBRU
Emova Group;ALEMV;FR0013356755;XPAR
Enagas SA;ENG;ES0130960018;XMAD
EnBW Energie Baden-Wuerttemberg AG;DU301344;DE0005220008;XETR
Ence Energia y Celulosa SA;ENC;ES0130625512;XMAD
Encres Dubuit;ALDUB;FR0004030708;XPAR
Endesa SA;ELE;ES0130670112;XMAD
Endo International Plc;ENDP;IE00BJ3V9050;XNAS
Enea AB;ENEA;SE0009697220;XSTO
Enel SpA;ENEL;IT0003128367;MTAA
Enensys Technologies SA;ALNN6;FR0013330792;XPAR
Energias de Portugal SA;EDP;PTEDP0AM0009;XLIS
Energiekontor AG;DU300889;DE0005313506;XETR
Enertime SA;ALENE;FR0011915339;XPAR
Engie;GA1;FR0010208488;XPAR
ENGIE EPS SACA;EPS;FR0012650166;XPAR
ENI SpA;551;IT0003132476;TNLB
ENI SPA  -ADR-;US113699;US26874R1086;XNYS
Enteq Upstream PLC;NTQ;GB00B41Q8Q68;XLON
Entreparticuliers.com;ALENT;FR0010424697;XPAR
Entreprendre;ALENR;FR0000045122;XPAR
Envea;ALTEV;FR0010278762;XPAR
Envipco Holding NV;ENVI;NL0009901610;XBRU
EnviTec Biogas AG;DU301117;DE000A0MVLS8;XETR
EO2;ALEO2;FR0010465534;XPAR
Eolus Vind AB -B-;EOLUB;SE0007075056;XSTO
EOS Imaging SA;EOSI;FR0011191766;XPAR
eQ PLC;FI370066;FI0009009617;XHEL
Equinor ASA;EQNR;NO0010096985;XOSL
Eramet SA;ERA;FR0000131757;XPAR
Ercros SA;ES340170;ES0125140A14;XMAD
ERG SpA;ERG;IT0001157020;MTAA
Ergomed PLC;ERGO;GB00BN7ZCY67;XLON
Ericsson -B-;ERICB;SE0000108656;XSTO
Erste Group Bank AG;EBS;AT0000652011;XWBO
Erytech Pharma SA;ERYP;FR0011471135;XPAR
ESI Group;ESI;FR0004110310;XPAR
Esker SA;ALESK;FR0000035818;XPAR
Esperite;ESP;NL0009272137;XAMS
Esprinet SpA;PRT;IT0003850929;MTAA
Essentra PLC;ESNT;GB00B0744359;XLON
EssilorLuxottica;EF1;FR0000121667;XPAR
Essity Aktiebolag -B-;21978;SE0009922164;XSTO
Esso SA;ES;FR0000120669;XPAR
Estoril Sol SGPS SA -Reg-;ESON;PTESO0AM0000;XLIS
Etteplan Oyj;ETTE;FI0009008650;XHEL
EURAZEO SE;RF;FR0000121121;XPAR
Euro Ressources;FR310180;FR0000054678;XPAR
Eurobio-Scientific;ALERS;FR0013240934;XPAR
Eurofins Cerep SA;ALECR;FR0013256518;XPAR
Eurofins Scientific;ERF;FR0000038259;XPAR
Eurogerm;ALGEM;FR0010452474;XPAR
Euroland Corporate;MLERO;FR0010157115;XPAR
Euromedis Groupe;EMG;FR0000075343;XPAR
Euronav;EURN;BE0003816338;XBRU
Euronext NV;ENX;NL0006294274;XPAR
EuropaCorp;ECP;FR0010490920;XPAR
Europcar Mobility Group;EUCAR;FR0012789949;XPAR
Europlasma;ALEUP;FR0000044810;XPAR
Europris ASA;EPR;NO0010735343;XOSL
Europublidis;BE320328;BE0003842599;XBRU
Eutelsat Communications;ETL;FR0010221234;XPAR
Evadix SA;BE320212;BE0003840577;XBRU
EVN AG;AT360020;AT0000741053;XWBO
Evolis;ALTVO;FR0004166197;XPAR
Evolution Gaming Group AB;EVO;SE0012673267;XSTO
Evonik Industries AG;EVK;DE000EVNK013;XETR
Evotec OAI AG;DU300088;DE0005664809;XETR
EVS Broadcast Equipment;EVS;BE0003820371;XBRU
Exacompta Clairefontaine SA;EXAC;FR0000064164;XPAR
Exel Industries SA -A-;EXE;FR0004527638;XPAR
Exmar NV;EXM;BE0003808251;XBRU
Exor NV;EXO;NL0012059018;MTAA
Experian PLC;EXPN;GB00B19NLV48;XLON
Exprivia SpA;XPR;IT0001477402;MTAA
F. Ramada Investimentos SGPS;PT350075;PTFRV0AE0004;XLIS
Fabasoft AG;FAA;AT0000785407;XETR
FACC AG;FACC;AT00000FACC2;XWBO
Faes Farma;ES340086;ES0134950F36;XMAD
Fagron;FAGR;BE0003874915;XBRU
Falck Renewables SpA;FKR;IT0003198790;MTAA
Fashion B Air SA;ALFBA;FR0004034593;XPAR
Fastjet PLC;FJET;GB00BWGCH354;XLON
Faurecia;EO;FR0000121147;XPAR
Fauvet-Girel;FAUV;FR0000063034;XPAR
Fayence de Sarreguemines Digoin et Vitry;FAYE;FR0000031973;XPAR
FBD Holdings PLC;FBD;IE0003290289;XDUB
Fermentalg SA;FALG;FR0011271600;XPAR
Ferrari NV;RACE;NL0011585146;XNYS
Ferrovial SA;FER;ES0118900010;XMAD
Fevertree Drinks PLC;FEVR;GB00BRJ9BJ26;XLON
FFP;FFP;FR0000064784;XPAR
Fiat Chrysler Automobiles NV;FCA;NL0010877643;MTAA
Fidia SpA;FDA;IT0001498481;MTAA
Fiducial Office Solutions;SACI;FR0000061418;XPAR
Fiducial real estate;ORIA;FR0000060535;XPAR
FIEBM SA;FR310816;FR0000062341;XPAR
Fielmann AG;FIE;DE0005772206;XETR
Fiera Milano SpA;FM;IT0003365613;MTAA
Figeac-Aero;FGA;FR0011665280;XPAR
Fila SPA;FILA;IT0004967292;MTAA
FILAE;ALFIL;FR0010221069;XPAR
Financiere De L'Odet;FR310441;FR0000062234;XPAR
Financiere de Tubize;TUB;BE0003823409;XBRU
Financiere Marjos;FR311117;FR0000060824;XPAR
Financiere Moncey SA;FR310642;FR0000076986;XPAR
Finatis SA;FR310106;FR0000035123;XPAR
Finaxo Environnement;FR310804;FR0010487272;XPAR
Fincantieri SpA;FCT;IT0001415246;MTAA
FinecoBank;FBK;IT0000072170;MTAA
FinLab AG;DU301367;DE0001218063;XETR
FIPP;FR312048;FR0000038184;XPAR
First Sensor AG;DU300327;DE0007201907;XETR
Flatex AG;FTK;DE000FTG1111;XETR
Fleury Michon S.A.;FR310465;FR0000074759;XPAR
Flexos SA;BE320259;BE0003885051;XBRU
Flo Groupe;FLO;FR0004076891;XPAR
Floridienne Act;BE320167;BE0003215143;XBRU
Flow Traders;FLOW;NL0011279492;XAMS
Flowtech Fluitpower PLC;FLO;GB00BM4NR742;XLON
Flughafen Wien AG;FLU;AT00000VIE62;XWBO
Fluidra SA;FDR;ES0137650018;XMAD
Flutter Entertainment PLC;FLTR;IE00BWT6H894;XDUB
Fluxys Belgium -D-;BE320398;BE0974265945;XBRU
Fnac Darty SA;FNAC;FR0011476928;XPAR
Focus Home Interactive;ALFOC;FR0012419307;XPAR
Fomento de Construcciones SA;FCC;ES0122060314;XMAD
Fonciere 7 Invest;LEBL;FR0000065930;XPAR
Fonciere Euris SA;EURS;FR0000038499;XPAR
Fonciere Volta SA;SPEL;FR0000053944;XPAR
Foraco International SA;CA140438;FR0010492199;XTSE
ForFarmers NV;FFARM;NL0011832811;XAMS
Foris AG.;DU300900;DE0005775803;XETR
Fortec Elektronik AG;DU302278;DE0005774103;XETR
Fountain SA;BE320094;BE0003752665;XBRU
Fountaine Pajot - Trawler Catamaran;ALFPC;FR0010485268;XPAR
Francaise Energie;LFDE;FR0013030152;XPAR
France Tourisme Immobilier;MLFTI;FR0010823724;XPAR
Francotyp-Postalia Holding AG;DU301468;DE000FPH9000;XETR
Fraport AG;DU300322;DE0005773303;XETR
Freelance.com;ALFRE;FR0004187367;XPAR
Freenet AG;DU301062;DE000A0Z2ZZ5;XETR
French Connection Group PLC;FCCN;GB0033764746;XLON
Fresenius Medical Care AG & Co;FME;DE0005785802;XETR
Fresenius Medical Care AG & Co -ADR-;FMS;US3580291066;XNYS
Fresenius SE & Co KGaA;FRE;DE0005785604;XETR
Friwo AG;CEA;DE0006201106;XETR
Fuchs Petrolub SE;DU302210;DE0005790406;XETR
Fugro;FUR;NL0000352565;XAMS
Fullsix;FUL;IT0001487047;MTAA
Futebol Clube Do Porto;PT350045;PTFCP0AM0008;XLIS
Futura Medical PLC;GB400553;GB0033278473;XLON
G4S PLC;GB400305;GB00B01FLG62;XLON
Galapagos;GLPG;BE0003818359;XAMS
Galimmo SA;GALIM;FR0000030611;XPAR
GALP Energia,SA -B;GALP;PTGAL0AM0009;XLIS
Gascogne;ALBI;FR0000124414;XPAR
Gaumont SA;GAM;FR0000034894;XPAR
Gaussin;ALGAU;FR0010342329;XPAR
Gaztransport Et Technigaz SA;GC1;FR0011726835;XPAR
GBL;GBL;BE0003797140;XBRU
GEA Group AG;DU300652;DE0006602006;XETR
GEA SA;FR311251;FR0000053035;XPAR
Geci International;FR310570;FR0000079634;XPAR
GEDI Gruppo Editoriale SpA;GEDI;IT0001398541;MTAA
Gefran SpA;GE;IT0003203947;MTAA
Gemalto -acquired-;GTO;NL0000400653;XAMS
Genel Energy PLC;GENL;JE00B55Q3P39;XLON
General de Alquiler de Maquinaria SA;GALQ;ES0141571192;XMAD
Generali SpA;G;IT0000062072;MTAA
Generix Group SADIR;GENX;FR0010501692;XPAR
Genfit;GNFT;FR0004163111;XPAR
Genkyotex SA;GKTX;FR0013399474;XPAR
Genomic Vision;GV;FR0011799907;XPAR
Genoway;ALGEN;FR0004053510;XPAR
GenSight Biologics SA;SIGHT;FR0013183985;XPAR
Geox SpA;GEO;IT0003697080;MTAA
Gerard Perrier Industrie SA;PERR;FR0000061459;XPAR
Geratherm Medical AG;DU300611;DE0005495626;XETR
German Startups Group GmbH & Co;GSJ;DE000A1MMEV4;XETR
Germi SA;ALUVI;FR0011898584;XPAR
Gerresheimer AG;DU302135;DE000A0LD6E6;XETR
Gesco AG;GSC1;DE000A1K0201;XETR
Gestamp Automocion SA;GEST;ES0105223004;XMAD
GetBusy Plc;GETB;GB00BG0TSD71;XLON
Getlink SE;GET;FR0010533075;XPAR
Gevelot;ALGEV;FR0000033888;XPAR
GFT Technologies AG;DU300095;DE0005800601;XETR
Gigaset AG;DU300952;DE0005156004;XETR
Gimv;GIMB;BE0003699130;XBRU
Giorgio Fedon & Figli SPA;FED;IT0001210050;XAIM
GK Software AG;DU302248;DE0007571424;XETR
GL Events SA;GLO;FR0000066672;XPAR
Glanbia PLC;GLB;IE0000669501;XDUB
GlaxoSmithKline PLC;GSK;GB0009252882;XLON
Glinnt-Global Intelligent Technologies;PT350071;PTPAD0AM0007;XLIS
Global Bioenergies SA;ALGBE;FR0011052257;XPAR
Global EcoPower NR;ALGEP;FR0011289198;XPAR
Global Graphics;GLOG;GB00BYN5BY03;XBRU
Globant SA;GLOB;LU0974299876;XNYS
GN Sore Nord A/S;GN;DK0010272632;XCSE
Gold by Gold;FR312096;FR0011208693;XPAR
Goldplat PLC;GB401055;GB00B0HCWM45;XLON
GPE Groupe Pizzorno;GPE;FR0010214064;XPAR
Grafton Group PLC;GFTU;IE00B00MZ448;XLON
Graines Voltz SA;GRVO;FR0000065971;XPAR
Grammer AG;DU300892;DE0005895403;XETR
Grand City Properties SA;GYC;LU0775917882;XETR
Grande Armee Investissement;MLGAI;FR0000053415;XPAR
Grands Moulins de Strasbourg;GDMS;FR0000064180;XPAR
Grandvision NV;GVNV;NL0010937066;XAMS
Granges AB;GRNGS;SE0006288015;XSTO
Green Energy 4 Seasons;MLGES;BE0948833760;XPAR
Greencoat Renewables PLC (EUR);GRP;IE00BF2NR112;XLON
Greencore Group PLC;GNC;IE0003864109;XLON
Greenyard NV;GREEN;BE0003765790;XBRU
Greggs PLC;GB400811;GB00B63QSB39;XLON
Grenergy Renovables SA;GRE;ES0105079000;XMAD
Grieg Seafood ASA;NO570039;NO0010365521;XOSL
Grifols SA;GRF;ES0171996087;XMAD
Groupe Actiplay;ALACT;FR0011038348;XPAR
Groupe Crit;CEN;FR0000036675;XPAR
Groupe DBT;ALDBT;FR0013066750;XPAR
Groupe Gorge;GOE;FR0000062671;XPAR
Groupe Guillin;ALGIL;FR0012819381;XPAR
Groupe IRD;IRD;FR0000124232;XPAR
Groupe JAJ;FR310722;FR0004010338;XPAR
Groupe LDLC;ALLDL;FR0000075442;XPAR
Groupe Open;OPN;FR0004050300;XPAR
Groupe Parot;ALPAR;FR0013204070;XPAR
Groupe Partouche SA -Regroupe-;PARP;FR0012612646;XPAR
Groupe Plus-Value;FR310949;FR0010529719;XPAR
Groupe SFPI;SFPI;FR0004155000;XPAR
Groupe Tera SA;TERA;FR0013429404;XPAR
Groupimo;ALIMO;FR0013297488;XPAR
Grupo Catalana Occidente SA;GCO;ES0116920333;XMAD
Grupo Media Capital SGPS, SA;PT350051;PTGMC0AM0003;XLIS
Guerbet;GBT;FR0000032526;XPAR
Guillemot Corporation;GUI;FR0000066722;XPAR
Gulf Keystone Petroleum Ltd;GKP;BMG4209G2077;XLON
Guy Degrenne SA;GUYD;FR0004035061;XPAR
GW Pharmaceuticals plc -ADR-;GWPH;US36197T1034;XNAS
Haemato AG;HAE;DE0006190705;XETR
Halma PLC;GB400813;GB0004052071;XLON
Hamburger Hafen und Logistik AG;DU301135;DE000A0S8488;XETR
Hannover Rueck SE -reg-;DU300374;DE0008402215;XETR
Hanza Holding AB;HANZA;SE0005878543;XSTO
Hargreaves Services PLC;GB401161;GB00B0MTC970;XLON
Harvest;ALHVS;FR0010207795;XPAR
Haulotte Group;PIG;FR0000066755;XPAR
Havsfrun Investment AB -B-;HAVB;SE0000312043;XSTO
Hawesko Holding AG;HAW;DE0006042708;XETR
Headlam Group PLC;HEAD;GB0004170089;XLON
HeidelbergCement AG;HEI;DE0006047004;XETR
Heidelberger Druckmaschinen;DU300463;DE0007314007;XETR
Heijmans;HEYM;NL0009269109;XAMS
Heineken;HEI;NL0000009165;XAMS
Heineken Holding;HEH;NL0000008977;XAMS
Helgeland Sparebank;NO570084;NO0010029804;XOSL
Heliad Equity Partners Gmbh;DU301223;DE000A0L1NN5;XETR
HelloFresh;HFG;DE000A161408;XETR
Henkel AG & Co. KGaA;DU301094;DE0006048408;XETR
Hennes & Mauritz AB -B-;HMB;SE0000106270;XSTO
Hera SpA;HER;IT0001250932;MTAA
Herige;ALHRG;FR0000066540;XPAR
Hermes International;RMS;FR0000052292;XPAR
Hexagon AB -B-;HEXAB;SE0000103699;XSTO
Hexagon Composites ASA;NO570075;NO0003067902;XOSL
HEXAOM;HEXA;FR0004159473;XPAR
HF Company;HF;FR0000038531;XPAR
High Co.;HCO;FR0000054231;XPAR
Hiolle Industries SA;ALHIO;FR0000077562;XPAR
HiPay Group SA;HIPAY;FR0012821916;XPAR
HITECHPROS;ALHIT;FR0010396309;XPAR
Hochschild Mining PLC;GB400914;GB00B1FW5029;XLON
Hochtief AG;DU300263;DE0006070006;XETR
Hoffmann Green Cement Technologies;ALHGR;FR0013451044;XPAR
Holand og Setskog Sparebank;HSPG;NO0010012636;XOSL
Holders Technology PLC;HDT;GB0004312350;XLON
Holland Colours;44031;NL0000440311;XAMS
Hopening;MLHPE;FR0010312181;XPAR
Hopscotch Groupe;HOP;FR0000065278;XPAR
Horizontal Software SA;ALHSW;FR0013219367;XPAR
Hornbach Baumarkt AG;DU300474;DE0006084403;XETR
Hornbach Holding AG & Co KGaA;HBH;DE0006083405;XETR
Hotelim;MLHOT;FR0000053738;XPAR
Howden Joinery Group PLC;GB400949;GB0005576813;XLON
HSBC Holdings  -ADR-;HSBC;US4042804066;XNYS
HSBC Holdings PLC;HSBA;GB0005405286;XLON
Hugo Boss AG;DU302391;DE000A1PHFF7;XETR
Huhtamaki Oyj;HUH1V;FI0009000459;XHEL
Humana AB;HUM;SE0008040653;XSTO
Hunter Douglas;HDG;ANN4327C1220;XAMS
Huntsworth PLC;HNT;GB00B0CRWK29;XLON
Hybrigenics SA;ALHYG;FR0004153930;XPAR
Hydratec Industries NV;939124;NL0009391242;XAMS
Hydraulique P.B. SA;MLHYD;FR0000064735;XPAR
Hydro-Exploitations SA;MLHYE;FR0005843125;XPAR
Hydrotec AG;DU301076;DE0006130305;XETR
Hypoport AG;DU302153;DE0005493365;XETR
Hyve Group PLC;GB401167;GB0002520509;XLON
I Grandi Viaggi SpA;IGV;IT0005108219;MTAA
I. Ceram SA;ALICR;FR0011511971;XPAR
i2S SA;FR311054;FR0005854700;XPAR
Iberdrola SA;IBE;ES0144580Y14;XMAD
IBERSOL SGPS SA;PT350055;PTIBS0AM0008;XLIS
Ice Concept -Delisted-;BE320377;BE0003860773;XBRU
ICON PLC;ICLR;IE0005711209;XNAS
ICT Group;ICT;NL0000359537;XAMS
ID Logistics SAS;IDL;FR0010929125;XPAR
IDI;FR311046;FR0000051393;XPAR
IDS SA;MLIDS;FR0000079691;XPAR
Idsud;ALIDS;FR0000062184;XPAR
IEP Invest;IEP;BE0003748622;XBRU
IGE + XAO SA;IGE;FR0000030827;XPAR
Iliad SA;ILD;FR0004035913;XPAR
IMA (Industria Macchine Automatic);IMA;IT0001049623;MTAA
Imalliance;MLIML;FR0010086371;XPAR
IMCD;IMCD;NL0010801007;XAMS
Imerys;NK;FR0000120859;XPAR
IMImobile PLC;IMO;GB00BLBP4Y22;XLON
Immersion;ALIMR;FR0013060100;XPAR
Immobel;BE320108;BE0003599108;XBRU
Immopool -Delisted-;BE320292;BE0003866838;XBRU
Immsi SpA;IMS;IT0001413837;MTAA
Immupharma PLC;IMM;GB0033711010;XLON
Imobiliaria Construtora Grao-Para SA;PT350076;PTGPA0AP0007;XLIS
Imperial Brands PLC;IMB;GB0004544929;XLON
Implanet SA;ALIMP;FR0013470168;XPAR
Impresa sgps;PT350062;PTIPR0AM0000;XLIS
Imprimerie Chirat SA;MLIMP;FR0000065773;XPAR
Inchcape PLC;GB400525;GB00B61TVQ02;XLON
Inditex SA;ITX;ES0148396007;XMAD
Indivior PLC;INDV;GB00BRS65X63;XLON
Indoor & Outdoor Communication Holding;MLIOC;BE6200101556;XPAR
Indra Sistemas SA;IDR;ES0118594417;XMAD
INDUS Holding AG;DU300381;DE0006200108;XETR
Infineon Technologies AG;IFX;DE0006231004;XETR
Infotel SA;INF;FR0000071797;XPAR
ING Groep;INGA;NL0011821202;XAMS
Ingenico Group;ING;FR0000125346;XPAR
Innate Pharma SA;IPH;FR0010331421;XPAR
Innelec Multimedia SA;INN;FR0000064297;XPAR
Innogy SE;IGY;DE000A2AADD2;XETR
Installux SA;FR311194;FR0000060451;XPAR
Instone Real Estate Group AG;INS;DE000A2NBX80;XETR
IntegraGen;ALINT;FR0010908723;XPAR
International Consolidated Airlines SA;ES340178;ES0177542018;XMAD
Interparfums;ITP;FR0004024222;XPAR
Interpump Group SpA;IP;IT0001078911;MTAA
Intershop Communications AG;DU300390;DE000A0EPUH1;XETR
Intertek Group PLC;ITRK;GB0031638363;XLON
Intertrust NV;INTER;NL0010937058;XAMS
InterXion Holding NV;US114261;NL0009693779;XNYS
Intesa Sanpaolo;ISP;IT0000072618;MTAA
Intexa;ITXT;FR0000064958;XPAR
Intrasense SAS;ALINS;FR0011179886;XPAR
Intrum AB;INTRUM;SE0000936478;XSTO
Intu Properties PLC;INTU;GB0006834344;XLON
Inventiva SA;IVA;FR0013233012;XPAR
Investimentos Participacoes e Gestao SA;PT350077;PTINA0AP0008;XLIS
Investor AB -A-;INVEA;SE0000107401;XSTO
Invibes Advertising NV;ALINV;BE0974299316;XPAR
Iomart Group PLC;IOM;GB0004281639;XLON
Ion Beam Applications;IBAB;BE0003766806;XBRU
